date,state,,cases,deaths
2/1/2020,Massachusetts,,1,0
2/2/2020,Massachusetts,,1,0
2/3/2020,Massachusetts,,1,0
2/4/2020,Massachusetts,,1,0
2/5/2020,Massachusetts,,1,0
2/6/2020,Massachusetts,,1,0
2/7/2020,Massachusetts,,1,0
2/8/2020,Massachusetts,,1,0
2/9/2020,Massachusetts,,1,0
2/10/2020,Massachusetts,,1,0
2/11/2020,Massachusetts,,1,0
2/12/2020,Massachusetts,,1,0
2/13/2020,Massachusetts,,1,0
2/14/2020,Massachusetts,,1,0
2/15/2020,Massachusetts,,1,0
2/16/2020,Massachusetts,,1,0
2/17/2020,Massachusetts,,1,0
2/18/2020,Massachusetts,,1,0
2/19/2020,Massachusetts,,1,0
2/20/2020,Massachusetts,,1,0
2/21/2020,Massachusetts,,1,0
2/22/2020,Massachusetts,,1,0
2/23/2020,Massachusetts,,1,0
2/24/2020,Massachusetts,,1,0
2/25/2020,Massachusetts,,1,0
2/26/2020,Massachusetts,,1,0
2/27/2020,Massachusetts,,1,0
2/28/2020,Massachusetts,,1,0
2/29/2020,Massachusetts,,1,0
3/1/2020,Massachusetts,,1,0
3/1/2020,Rhode Island,,2,0
3/2/2020,Massachusetts,,2,0
3/2/2020,Rhode Island,,2,0
3/3/2020,Massachusetts,,2,0
3/3/2020,Rhode Island,,2,0
3/4/2020,Massachusetts,,2,0
3/4/2020,Rhode Island,,2,0
3/5/2020,Massachusetts,,3,0
3/5/2020,Rhode Island,,2,0
3/6/2020,Massachusetts,,8,0
3/6/2020,Rhode Island,,3,0
3/7/2020,Massachusetts,,13,0
3/7/2020,Rhode Island,,3,0
3/7/2020,Vermont,,1,0
3/8/2020,Massachusetts,,28,0
3/8/2020,Rhode Island,,3,0
3/8/2020,Vermont,,1,0
3/9/2020,Massachusetts,,41,0
3/9/2020,Rhode Island,,3,0
3/9/2020,Vermont,,1,0
3/10/2020,Massachusetts,,92,0
3/10/2020,Rhode Island,,5,0
3/10/2020,Vermont,,1,0
3/11/2020,Massachusetts,,95,0
3/11/2020,Mississippi,,1,0
3/11/2020,Rhode Island,,5,0
3/11/2020,Vermont,,2,0
3/11/2020,Wyoming,,1,0
3/12/2020,Massachusetts,,108,0
3/12/2020,Mississippi,,1,0
3/12/2020,Rhode Island,,5,0
3/12/2020,Vermont,,2,0
3/12/2020,Wyoming,,1,0
3/13/2020,Alabama,,6,0
3/13/2020,Massachusetts,,123,0
3/13/2020,Mississippi,,6,0
3/13/2020,Rhode Island,,20,0
3/13/2020,Vermont,,2,0
3/13/2020,Wyoming,,2,0
3/14/2020,Alabama,,12,0
3/14/2020,Massachusetts,,138,0
3/14/2020,Mississippi,,6,0
3/14/2020,Rhode Island,,20,0
3/14/2020,Vermont,,5,0
3/14/2020,Wyoming,,3,0
3/15/2020,Alabama,,23,0
3/15/2020,Massachusetts,,164,0
3/15/2020,Mississippi,,10,0
3/15/2020,Rhode Island,,20,0
3/15/2020,Vermont,,8,0
3/15/2020,Wyoming,,3,0
3/16/2020,Alabama,,29,0
3/16/2020,Massachusetts,,197,0
3/16/2020,Mississippi,,12,0
3/16/2020,Rhode Island,,21,0
3/16/2020,Vermont,,12,0
3/16/2020,Wyoming,,10,0
3/17/2020,Alabama,,39,0
3/17/2020,Massachusetts,,218,0
3/17/2020,Mississippi,,21,0
3/17/2020,Rhode Island,,23,0
3/17/2020,Vermont,,14,0
3/17/2020,Wyoming,,15,0
3/18/2020,Alabama,,51,0
3/18/2020,Massachusetts,,256,0
3/18/2020,Mississippi,,34,0
3/18/2020,Rhode Island,,33,0
3/18/2020,Vermont,,19,0
3/18/2020,Wyoming,,17,0
3/19/2020,Alabama,,78,0
3/19/2020,Massachusetts,,328,0
3/19/2020,Mississippi,,50,1
3/19/2020,Rhode Island,,44,0
3/19/2020,Vermont,,22,2
3/19/2020,Wyoming,,18,0
3/20/2020,Alabama,,106,0
3/20/2020,Massachusetts,,413,1
3/20/2020,Mississippi,,80,1
3/20/2020,Rhode Island,,44,0
3/20/2020,Vermont,,29,2
3/20/2020,Wyoming,,22,0
3/21/2020,Alabama,,131,0
3/21/2020,Massachusetts,,525,2
3/21/2020,Mississippi,,140,1
3/21/2020,Rhode Island,,66,0
3/21/2020,Vermont,,49,2
3/21/2020,Wyoming,,24,0
3/22/2020,Alabama,,157,0
3/22/2020,Massachusetts,,646,5
3/22/2020,Mississippi,,207,1
3/22/2020,Rhode Island,,83,0
3/22/2020,Vermont,,52,2
3/22/2020,Wyoming,,26,0
3/23/2020,Alabama,,196,0
3/23/2020,Massachusetts,,777,9
3/23/2020,Mississippi,,249,1
3/23/2020,Rhode Island,,106,0
3/23/2020,Vermont,,75,2
3/23/2020,Wyoming,,28,0
3/24/2020,Alabama,,242,0
3/24/2020,Massachusetts,,1159,11
3/24/2020,Mississippi,,320,1
3/24/2020,Rhode Island,,124,0
3/24/2020,Vermont,,95,7
3/24/2020,Wyoming,,37,0
3/25/2020,Alabama,,386,1
3/25/2020,Massachusetts,,1838,15
3/25/2020,Mississippi,,376,5
3/25/2020,Rhode Island,,132,0
3/25/2020,Vermont,,123,8
3/25/2020,Wyoming,,49,0
3/26/2020,Alabama,,538,3
3/26/2020,Massachusetts,,2417,25
3/26/2020,Mississippi,,486,6
3/26/2020,Rhode Island,,165,0
3/26/2020,Vermont,,158,9
3/26/2020,Wyoming,,56,0
3/27/2020,Alabama,,639,4
3/27/2020,Massachusetts,,3240,35
3/27/2020,Mississippi,,579,8
3/27/2020,Rhode Island,,203,0
3/27/2020,Vermont,,184,10
3/27/2020,Wyoming,,74,0
3/28/2020,Alabama,,720,4
3/28/2020,Massachusetts,,4257,44
3/28/2020,Mississippi,,669,13
3/28/2020,Rhode Island,,239,2
3/28/2020,Vermont,,211,12
3/28/2020,Wyoming,,85,0
3/29/2020,Alabama,,830,5
3/29/2020,Massachusetts,,4955,48
3/29/2020,Mississippi,,759,14
3/29/2020,Rhode Island,,294,3
3/29/2020,Vermont,,235,12
3/29/2020,Wyoming,,88,0
3/30/2020,Alabama,,947,11
3/30/2020,Massachusetts,,5752,56
3/30/2020,Mississippi,,848,16
3/30/2020,Rhode Island,,408,4
3/30/2020,Vermont,,256,12
3/30/2020,Wyoming,,96,0
3/31/2020,Alabama,,999,14
3/31/2020,Massachusetts,,6620,89
3/31/2020,Mississippi,,937,20
3/31/2020,Rhode Island,,488,8
3/31/2020,Vermont,,293,13
3/31/2020,Wyoming,,121,0
4/1/2020,Alabama,,1108,28
4/1/2020,Massachusetts,,7738,122
4/1/2020,Mississippi,,1073,22
4/1/2020,Rhode Island,,566,10
4/1/2020,Vermont,,321,16
4/1/2020,Wyoming,,138,0
4/2/2020,Alabama,,1270,32
4/2/2020,Massachusetts,,8966,154
4/2/2020,Mississippi,,1177,26
4/2/2020,Rhode Island,,657,12
4/2/2020,Vermont,,338,17
4/2/2020,Wyoming,,154,0
4/3/2020,Alabama,,1535,38
4/3/2020,Massachusetts,,10402,192
4/3/2020,Mississippi,,1358,29
4/3/2020,Rhode Island,,711,14
4/3/2020,Vermont,,389,17
4/3/2020,Wyoming,,167,0
4/4/2020,Alabama,,1632,44
4/4/2020,Massachusetts,,11736,216
4/4/2020,Mississippi,,1455,35
4/4/2020,Rhode Island,,806,17
4/4/2020,Vermont,,461,20
4/4/2020,Wyoming,,189,0
4/5/2020,Alabama,,1840,45
4/5/2020,Massachusetts,,12500,231
4/5/2020,Mississippi,,1638,43
4/5/2020,Rhode Island,,922,25
4/5/2020,Vermont,,512,22
4/5/2020,Wyoming,,200,0
4/6/2020,Alabama,,2005,53
4/6/2020,Massachusetts,,13837,260
4/6/2020,Mississippi,,1738,51
4/6/2020,Rhode Island,,1082,27
4/6/2020,Vermont,,543,23
4/6/2020,Wyoming,,213,0
4/7/2020,Alabama,,2197,64
4/7/2020,Massachusetts,,15202,356
4/7/2020,Mississippi,,1915,59
4/7/2020,Rhode Island,,1229,30
4/7/2020,Vermont,,575,23
4/7/2020,Wyoming,,221,0
4/8/2020,Alabama,,2498,67
4/8/2020,Massachusetts,,16790,433
4/8/2020,Mississippi,,2003,67
4/8/2020,Rhode Island,,1450,35
4/8/2020,Vermont,,605,23
4/8/2020,Wyoming,,230,0
4/9/2020,Alabama,,2838,78
4/9/2020,Massachusetts,,18941,503
4/9/2020,Mississippi,,2260,76
4/9/2020,Rhode Island,,1727,43
4/9/2020,Vermont,,628,23
4/9/2020,Wyoming,,303,0
4/10/2020,Alabama,,3008,80
4/10/2020,Massachusetts,,20974,599
4/10/2020,Mississippi,,2469,82
4/10/2020,Rhode Island,,2015,49
4/10/2020,Vermont,,679,24
4/10/2020,Wyoming,,320,0
4/11/2020,Alabama,,3262,93
4/11/2020,Massachusetts,,22860,686
4/11/2020,Mississippi,,2642,93
4/11/2020,Rhode Island,,2349,56
4/11/2020,Vermont,,711,24
4/11/2020,Wyoming,,343,0
4/12/2020,Alabama,,3583,93
4/12/2020,Massachusetts,,25475,756
4/12/2020,Mississippi,,2781,96
4/12/2020,Rhode Island,,2665,63
4/12/2020,Vermont,,727,26
4/12/2020,Wyoming,,364,0
4/13/2020,Alabama,,3805,104
4/13/2020,Massachusetts,,26867,844
4/13/2020,Mississippi,,2942,98
4/13/2020,Rhode Island,,2976,73
4/13/2020,Vermont,,748,27
4/13/2020,Wyoming,,373,1
4/14/2020,Alabama,,3953,114
4/14/2020,Massachusetts,,28163,957
4/14/2020,Mississippi,,3087,111
4/14/2020,Rhode Island,,3251,80
4/14/2020,Vermont,,752,28
4/14/2020,Wyoming,,373,1
4/15/2020,Alabama,,4241,123
4/15/2020,Massachusetts,,29918,1108
4/15/2020,Mississippi,,3360,122
4/15/2020,Rhode Island,,3529,87
4/15/2020,Vermont,,759,29
4/15/2020,Wyoming,,392,2
4/16/2020,Alabama,,4404,137
4/16/2020,Massachusetts,,32181,1245
4/16/2020,Mississippi,,3624,129
4/16/2020,Rhode Island,,3838,105
4/16/2020,Vermont,,768,34
4/16/2020,Wyoming,,393,2
4/17/2020,Alabama,,4572,151
4/17/2020,Massachusetts,,34402,1404
4/17/2020,Mississippi,,3793,140
4/17/2020,Rhode Island,,4177,118
4/17/2020,Vermont,,779,34
4/17/2020,Wyoming,,401,2
4/18/2020,Alabama,,4723,147
4/18/2020,Massachusetts,,36372,1560
4/18/2020,Mississippi,,3974,152
4/18/2020,Rhode Island,,4491,137
4/18/2020,Vermont,,803,36
4/18/2020,Wyoming,,412,2
4/19/2020,Alabama,,4903,160
4/19/2020,Massachusetts,,38077,1706
4/19/2020,Mississippi,,4274,159
4/19/2020,Rhode Island,,4706,150
4/19/2020,Vermont,,812,36
4/19/2020,Wyoming,,422,2
4/20/2020,Alabama,,5078,164
4/20/2020,Massachusetts,,39643,1809
4/20/2020,Mississippi,,4512,169
4/20/2020,Rhode Island,,5090,155
4/20/2020,Vermont,,816,37
4/20/2020,Wyoming,,426,2
4/21/2020,Alabama,,5327,186
4/21/2020,Massachusetts,,41199,1961
4/21/2020,Mississippi,,4716,183
4/21/2020,Rhode Island,,5500,171
4/21/2020,Vermont,,818,39
4/21/2020,Wyoming,,442,6
4/22/2020,Alabama,,5610,201
4/22/2020,Massachusetts,,42944,2182
4/22/2020,Mississippi,,4894,193
