date,location,people_vaccinated,people_fully_vaccinated
2021-01-12,Alabama,70861,7270
2021-01-13,Alabama,74792,9245
2021-01-14,Alabama,80480,
2021-01-15,Alabama,86956,13488
2021-01-16,Alabama,,
2021-01-17,Alabama,,
2021-01-18,Alabama,,
2021-01-19,Alabama,114319,16346
2021-01-20,Alabama,121113,17956
2021-01-21,Alabama,144429,21345
2021-01-22,Alabama,174317,24840
2021-01-23,Alabama,193955,27422
2021-01-24,Alabama,213833,29736
2021-01-25,Alabama,220464,29978
2021-01-26,Alabama,223854,30933
2021-01-27,Alabama,232633,33595
2021-01-28,Alabama,241337,37431
2021-01-29,Alabama,256601,44073
2021-01-30,Alabama,288368,53742
2021-01-31,Alabama,298301,55331
2021-02-01,Alabama,301628,56308
2021-02-02,Alabama,312711,58825
2021-02-03,Alabama,324998,62990
2021-02-04,Alabama,338845,69155
2021-02-05,Alabama,353522,76603
2021-02-06,Alabama,370275,84278
2021-02-07,Alabama,375567,86141
2021-02-08,Alabama,378514,88453
2021-02-09,Alabama,395196,95033
2021-02-10,Alabama,412462,102520
2021-02-11,Alabama,431259,111036
2021-02-12,Alabama,448071,122019
2021-02-13,Alabama,467032,133029
2021-02-14,Alabama,474065,137032
2021-02-15,Alabama,,
2021-02-16,Alabama,486206,149288
2021-02-17,Alabama,494424,154341
2021-02-18,Alabama,505660,165104
2021-02-19,Alabama,545431,192304
2021-02-20,Alabama,560968,214512
2021-02-21,Alabama,567505,219639
2021-02-22,Alabama,583741,228101
2021-02-23,Alabama,593936,239425
2021-02-24,Alabama,604602,253615
2021-02-25,Alabama,615100,268465
2021-02-26,Alabama,627063,286095
2021-02-27,Alabama,643208,307868
2021-02-28,Alabama,649745,313290
2021-03-01,Alabama,653309,316073
2021-03-02,Alabama,663187,330046
2021-03-03,Alabama,674810,346841
2021-03-04,Alabama,688791,365456
2021-03-05,Alabama,704173,383078
2021-03-06,Alabama,721109,402061
2021-03-07,Alabama,727681,406723
2021-03-08,Alabama,732967,409937
2021-03-09,Alabama,747268,420083
2021-03-10,Alabama,768502,435018
2021-03-11,Alabama,790864,452746
2021-03-12,Alabama,816418,472325
2021-03-13,Alabama,841394,492755
2021-03-14,Alabama,849337,497653
2021-03-15,Alabama,854302,501344
2021-03-16,Alabama,871536,511869
2021-03-17,Alabama,893767,523649
2021-03-18,Alabama,912663,533375
2021-03-19,Alabama,937614,547257
2021-03-20,Alabama,960539,561254
2021-03-21,Alabama,968459,566632
2021-03-22,Alabama,972986,569127
2021-03-23,Alabama,994253,579598
2021-03-24,Alabama,1019858,589979
2021-03-25,Alabama,1048838,600666
2021-03-26,Alabama,1072623,611694
2021-03-27,Alabama,1098597,623385
2021-03-28,Alabama,1108253,628500
2021-03-29,Alabama,1113924,631388
2021-03-30,Alabama,1134739,643450
2021-03-31,Alabama,1155139,656899
2021-04-01,Alabama,1184284,673773
2021-04-02,Alabama,1211424,691082
2021-04-03,Alabama,1234131,705197
2021-04-04,Alabama,1242706,709849
2021-04-05,Alabama,1248029,711596
2021-04-06,Alabama,1267859,725270
2021-04-07,Alabama,1291487,744961
2021-04-08,Alabama,1317995,764450
2021-04-09,Alabama,1344658,788325
2021-04-10,Alabama,1371201,811323
2021-04-11,Alabama,1382951,819550
2021-04-12,Alabama,1389598,824052
2021-04-13,Alabama,1407463,844353
2021-04-14,Alabama,1426530,868550
2021-04-15,Alabama,1442051,893002
2021-04-16,Alabama,1459377,915654
2021-04-17,Alabama,1476162,935377
2021-04-18,Alabama,1481314,943129
2021-04-19,Alabama,1483779,946333
2021-04-20,Alabama,1494421,966251
2021-04-21,Alabama,1507116,987379
2021-04-22,Alabama,1518928,1010415
2021-04-23,Alabama,1531741,1033996
2021-04-24,Alabama,1543544,1054863
2021-04-25,Alabama,1546659,1062524
2021-04-26,Alabama,1549782,1066659
2021-04-27,Alabama,1558652,1079815
2021-04-28,Alabama,1568315,1098820
2021-04-29,Alabama,1579093,1121348
2021-04-30,Alabama,1589518,1143488
2021-05-01,Alabama,1599130,1161725
2021-05-02,Alabama,1601433,1165479
2021-05-03,Alabama,1603454,1168235
2021-05-04,Alabama,1609919,1179793
2021-05-05,Alabama,1618791,1199064
2021-05-06,Alabama,1619783,1201303
2021-05-07,Alabama,1636710,1240335
2021-05-08,Alabama,1649688,1263965
2021-05-09,Alabama,1654267,1270858
2021-05-10,Alabama,1657672,1273670
2021-05-11,Alabama,1658191,1273999
2021-05-12,Alabama,1664353,1286565
2021-05-13,Alabama,1678119,1314534
2021-05-14,Alabama,1687875,1334176
2021-05-15,Alabama,1697289,1348023
2021-05-16,Alabama,1699751,1350643
2021-05-17,Alabama,1699915,1350830
2021-05-18,Alabama,1709333,1362380
2021-05-19,Alabama,1709761,1362834
2021-05-20,Alabama,1725694,1382327
2021-05-21,Alabama,1727437,1387356
2021-05-22,Alabama,1736645,1396990
2021-05-23,Alabama,1746820,1407769
2021-05-24,Alabama,1747012,1407917
2021-05-25,Alabama,1754294,1415771
2021-05-26,Alabama,1757607,1419599
2021-05-27,Alabama,1758850,1423605
2021-05-28,Alabama,1763553,1429238
2021-05-29,Alabama,1765515,1431669
2021-05-30,Alabama,1766055,1432446
2021-05-31,Alabama,,
2021-06-01,Alabama,1766784,1433267
2021-06-02,Alabama,1768055,1435324
2021-06-03,Alabama,1768288,1435719
2021-06-04,Alabama,1771964,1440101
2021-06-05,Alabama,1772245,1440289
2021-06-06,Alabama,1773379,1441834
2021-06-07,Alabama,1774139,1442775
2021-06-08,Alabama,1774535,1443230
2021-06-09,Alabama,1776278,1445608
2021-06-10,Alabama,1787017,1460230
2021-06-11,Alabama,1793119,1468898
2021-06-12,Alabama,1805486,1485108
2021-06-13,Alabama,1810074,1490848
2021-06-14,Alabama,1815885,1499941
2021-06-15,Alabama,1816769,1501171
2021-06-16,Alabama,1822146,1508504
2021-06-17,Alabama,1898131,1546119
2021-06-18,Alabama,1898704,1546983
2021-06-19,Alabama,1909005,1558881
2021-06-20,Alabama,1913032,1562192
2021-06-21,Alabama,1915122,1563573
2021-06-22,Alabama,1918334,1566908
2021-06-23,Alabama,1922707,1570452
2021-06-24,Alabama,1928656,1574676
2021-06-25,Alabama,1928903,1574934
2021-06-26,Alabama,1933773,1578780
2021-06-27,Alabama,1941681,1584456
2021-06-28,Alabama,1948135,1590001
2021-06-29,Alabama,1953410,1594040
2021-06-30,Alabama,1954166,1594625
2021-07-01,Alabama,1962745,1601802
2021-07-02,Alabama,1962952,1602022
2021-07-03,Alabama,1969834,1612803
2021-07-04,Alabama,1969971,1612913
2021-07-05,Alabama,,
2021-07-06,Alabama,1976343,1617584
2021-07-07,Alabama,1978951,1619647
2021-07-08,Alabama,1982250,1623114
2021-07-09,Alabama,1985582,1626323
2021-07-10,Alabama,1988956,1629745
2021-07-11,Alabama,1992957,1633408
2021-07-12,Alabama,1993099,1633505
2021-07-13,Alabama,2000752,1638866
2021-07-14,Alabama,2000914,1639032
2021-07-15,Alabama,2009200,1645083
2021-07-16,Alabama,2013559,1647995
2021-07-17,Alabama,2013853,1648172
2021-07-18,Alabama,2018807,1651404
2021-07-19,Alabama,2022782,1653604
